Type,CaseId,OracleBetter,IssueArchetype,SelectedFamily,BestFamily,SelectedQuality,BestQuality,RerankRegret,StructuralUniqueCandidates,ExactUniqueCandidates,SelectedWorkflow,GoldWorkflow,BestWorkflow,ChineseExplanation
single,11656312,True,extra_step_recoverable,original/baseline,minimal/fewest_tools,0.3704,0.4444,0.0741,3,7,Video Search -> Video-to-Image,Video Search,Video Search,单工具视频搜索题被扩成两步，平白多出 Video-to-Image；说明模型会把“找视频教程”误解成“搜视频后再抽帧”。
single,13336269,False,parameter_copy_failure,original/baseline,original/baseline,0.4444,0.4444,0.0000,2,3,Image Search,Image Search,Image Search,工具选对了，但检索 query 被改写，gold 的 `high-resolution breathtaking sunset` 被弱化成 `a beautiful sunset`，属于参数拷贝失败。
single,24435782,False,parameter_normalization_failure,original/baseline,original/baseline,0.5000,0.5000,0.0000,1,2,Video Speed Changer,Video Speed Changer,Video Speed Changer,节点正确，但数值参数 `75%` 被改写成长文本说明，属于字面值拷贝 / 参数规范化失败。
single,96133316,False,wrong_tool_hallucination,original/baseline,original/baseline,0.2222,0.2222,0.0000,1,1,Image Search (by Image),Image Search,Image Search (by Image),把纯文本搜图误判成 `Image Search (by Image)`，还凭空引入 `example.jpg`；属于模态幻觉。
chain,45875119,True,missing_required_step_recoverable,original/baseline,minimal/fewest_tools,0.2222,1.0000,0.7778,2,2,Video-to-Image -> Image Search (by Image),Video-to-Image -> Image Colorizer -> Image Search (by Image),Video-to-Image -> Image Colorizer -> Image Search (by Image),漏掉用户显式要求的 `Image Colorizer`，中间步骤缺失；candidate pool 里已有多个满分候选。
chain,31461277,True,transformation_order_error,original/baseline,minimal/fewest_transformations,0.3333,1.0000,0.6667,2,2,Audio Downloader -> Audio-to-Image -> Image Colorizer -> Image Style Transfer -> Image-to-Text,Audio Downloader -> Audio-to-Image -> Image Style Transfer -> Image Colorizer -> Image-to-Text,Audio Downloader -> Audio-to-Image -> Image Style Transfer -> Image Colorizer -> Image-to-Text,节点都对，但把 `Image Style Transfer` 和 `Image Colorizer` 的顺序做反了，属于变换顺序错误。
chain,29292224,True,long_chain_dependency_collapse,original/baseline,action_coverage/step_by_step_decomposition,0.2020,0.4310,0.2290,3,5,Text Summarizer -> Text Simplifier -> Text Sentiment Analysis -> Keyword Extractor -> Topic Generator,Text Simplifier -> Text Summarizer -> Keyword Extractor -> Text Sentiment Analysis -> Topic Generator -> Text Search,Text Simplifier -> Text Summarizer -> Text Sentiment Analysis -> Keyword Extractor -> Topic Generator,长链任务里丢了最终 `Text Search`，同时把多分支依赖压扁到错误上游；`action_coverage` 候选明显更接近 gold。
chain,31788289,True,extra_terminal_step,original/baseline,minimal/fewest_tools,0.5097,1.0000,0.4903,3,3,Audio-to-Text -> Text Grammar Checker -> Text Simplifier -> Article Spinner -> Text Expander -> Topic Generator -> Text Translator,Audio-to-Text -> Text Grammar Checker -> Text Simplifier -> Article Spinner -> Text Expander -> Topic Generator,Audio-to-Text -> Text Grammar Checker -> Text Simplifier -> Article Spinner -> Text Expander -> Topic Generator,主链基本正确，但末端额外幻觉出 `Text Translator`，属于过度规划 / 额外步骤。
dag,27258164,True,edge_direction_error,original/baseline,minimal/fewest_tools,0.3333,0.5370,0.2037,2,4,Audio Noise Reduction -> Voice Changer -> Audio-to-Image -> Image-to-Video,Voice Changer -> Audio Noise Reduction -> Audio-to-Image -> Image-to-Video,Voice Changer -> Audio Noise Reduction -> Audio-to-Image -> Image-to-Video,DAG/chain 边方向错误，先降噪再变声，导致首段依赖倒置；`minimal` 候选能修正。
dag,79560754,True,upstream_binding_error,original/baseline,minimal/fewest_tools,0.3667,0.4833,0.1167,2,2,Text Grammar Checker -> Text Summarizer -> Topic Generator -> Text-to-Video,Text Grammar Checker -> Text Summarizer -> Topic Generator -> Text-to-Video,Text Grammar Checker -> Text Summarizer -> Topic Generator -> Text-to-Video,节点都对，但 `Topic Generator` 和 `Text-to-Video` 都绑到了 grammar 输出，而不是 summary/topic 分支；属于上游绑定错误。
dag,13018270,False,collapsed_auxiliary_branch,original/baseline,original/baseline,0.4741,0.4741,0.0000,1,2,Audio Splicer -> Audio Effects,Text Simplifier -> Audio Splicer -> Audio Effects,Audio Splicer -> Audio Effects,把 effect 描述直接塞进 `Audio Effects`，漏掉 gold 中的 `Text Simplifier` 支路；说明模型会压缩辅助文本分支。
dag,26579656,False,dag_branch_binding_error,original/baseline,original/baseline,0.4537,0.4537,0.0000,1,1,Video Downloader -> Video Stabilizer -> Video-to-Audio -> Video-to-Image,Video Downloader -> Video Stabilizer -> Video-to-Audio -> Video-to-Image,Video Downloader -> Video Stabilizer -> Video-to-Audio -> Video-to-Image,节点都对，但 `Video-to-Image` 接成了 stabilized video，而不是 original download 分支；是典型 DAG 分支绑定错误。
