ID,Type,Badcase Error Summary,Has Edge Error,Categories,Category Details,Most Likely Failure Stage,Root Cause,Reason
26187047,dag,node_mismatch; link_mismatch; arg_mismatch(4),True,Missing Edge; Extra Edge,"[{""category"": ""Missing Edge"", ""description"": ""The gold workflow includes a link from 'Image-to-Video' to 'Video Stabilizer', which is missing in the predicted workflow.""}, {""category"": ""Extra Edge"", ""description"": ""The predicted workflow includes an extra edge from 'Video Synchronization' to 'Video Stabilizer', which does not exist in the gold workflow.""}]",dependency_reasoning,"The predicted workflow incorrectly assumes that the output of 'Video Synchronization' should be stabilized, whereas the gold workflow specifies that stabilization should occur before synchronization.","The model failed to correctly reason about the order of operations, leading to the addition of an unnecessary edge and omission of a required one."
28919479,dag,link_mismatch; arg_mismatch(4),True,Missing Edge,"[{""category"": ""Missing Edge"", ""description"": ""The edge from 'Text Summarizer' to 'Video Search' is missing in the predicted workflow.""}]",dependency_reasoning,The model failed to recognize that the output of the 'Text Summarizer' should be used as input for the 'Video Search' task.,"The predicted workflow lacks the dependency between 'Text Summarizer' and 'Video Search', which is required based on the user request and gold workflow."
22151225,dag,node_mismatch; link_mismatch; arg_mismatch(3),True,Missing Edge; Fork-vs-Chain Error,"[{""category"": ""Missing Edge"", ""description"": ""The edge from 'Video Stabilizer' to 'Video Synchronization' is missing in the predicted workflow, which exists in the gold workflow.""}, {""category"": ""Fork-vs-Chain Error"", ""description"": ""The gold workflow has a branch structure where 'Image-to-Video' → 'Video Stabilizer' → 'Video Synchronization' and 'Video-to-Audio' → 'Video Synchronization' are separate paths. The prediction incorrectly connects 'Image-to-Video' directly to 'Video Synchronization', merging the paths into a chain.""}]",dependency_reasoning,The model failed to recognize the need for intermediate steps and branching logic in the workflow.,"The predicted workflow skips the 'Video Stabilizer' node and merges the 'Image-to-Video' node directly with 'Video Synchronization', which results in both a missing edge and a fork-vs-chain error."
11305011,dag,link_mismatch; arg_mismatch(1),True,Missing Edge,"[{""category"": ""Missing Edge"", ""description"": ""All required dependencies in the gold workflow are missing in the predicted workflow.""}]",dependency_reasoning,"The predicted workflow failed to establish any task links between nodes, resulting in a complete absence of dependencies.","The model did not identify or establish any dependencies between the tasks, leading to a completely disconnected workflow."
14551179,dag,node_mismatch; link_mismatch; arg_mismatch(3),True,Missing Edge; Extra Edge; Fork-vs-Chain Error,"[{""category"": ""Missing Edge"", ""description"": ""The gold workflow includes edges from 'Text Grammar Checker' to 'Video Voiceover', 'Video Voiceover' to 'Video-to-Audio', 'Video-to-Audio' to 'Audio Noise Reduction', and 'Audio Noise Reduction' to 'Audio-to-Text'. These are all missing in the predicted workflow.""}, {""category"": ""Extra Edge"", ""description"": ""The predicted workflow includes an edge from 'Text-to-Audio' to 'Video Voiceover', which is not present in the gold workflow.""}, {""category"": ""Fork-vs-Chain Error"", ""description"": ""The gold workflow has a chain of text processing steps (Text Downloader → Text Paraphraser → Text Grammar Checker), but the predicted workflow replaces this with a different chain (Text Downloader → Text Summarizer → Text-to-Audio).""}]",dependency_reasoning; task_understanding,The predicted workflow fails to follow the correct sequence of text processing and audio/video generation steps as defined in the gold workflow.,"The model likely misunderstood the required sequence of text refinement and video/audio integration steps, leading to both missing and incorrect dependencies in the predicted workflow."
23583789,dag,node_mismatch; link_mismatch; arg_mismatch(1),True,Missing Edge; Missing Edge,"[{""category"": ""Missing Edge"", ""description"": ""The edge from 'Keyword Extractor' to 'Text-to-Image' is missing in the predicted workflow.""}, {""category"": ""Missing Edge"", ""description"": ""The edge from 'Text-to-Image' to 'Image Stitcher' is missing in the predicted workflow.""}]",dependency_reasoning,"The predicted workflow skips intermediate steps, directly connecting 'Audio-to-Text' to 'Text-to-Image' and omitting necessary dependencies.",The model failed to recognize the need for intermediate steps such as keyword extraction before generating images and stitching them together.
31077367,dag,node_mismatch; link_mismatch; arg_mismatch(4),True,Missing Edge; Missing Edge,"[{""category"": ""Missing Edge"", ""description"": ""The gold workflow includes a link from 'URL Extractor' to 'Image Downloader', which is missing in the predicted workflow.""}, {""category"": ""Missing Edge"", ""description"": ""The gold workflow includes a link from 'Image Style Transfer' to 'Image Colorizer', but this is present in the predicted workflow. However, the gold workflow also has an explicit link from 'Image Downloader' to 'Image Style Transfer', which is present in the prediction, so no error here.""}]",dependency_reasoning,"The predicted workflow failed to include the dependency between 'URL Extractor' and 'Image Downloader', which is essential for the correct flow of the task.",The model did not recognize that the URL Extractor node must be connected to the Image Downloader node to ensure the correct image is downloaded based on the user's request.
29651002,dag,node_mismatch; link_mismatch; arg_mismatch(3),True,Type-Incompatible Edge; Other,"[{""category"": ""Type-Incompatible Edge"", ""description"": ""The predicted workflow uses 'Image-to-Video' as a predecessor to 'Video Voiceover', but the 'Image-to-Video' node outputs a video, which is compatible. However, the gold workflow uses 'Create_Slideshow' (which is semantically equivalent to 'Image-to-Video') as a predecessor to 'Add_Voiceover', and this is also compatible. The issue arises from the use of 'Audio-to-Text' in both workflows, which is correct.""}, {""category"": ""Other"", ""description"": ""The predicted workflow uses 'Video Voiceover' instead of 'Add_Voiceover', which may be considered a naming difference but not a semantic one. However, since the task names differ, it could be classified as an error if strict name matching is required.""}]",task_understanding,"The predicted workflow used different task names for equivalent tasks ('Video Voiceover' instead of 'Add_Voiceover'), and while the edge structure appears similar, the mismatch in task names may indicate a failure in task understanding or naming consistency.","The predicted workflow has a structurally similar edge setup to the gold workflow, but the use of different task names for equivalent functions suggests a misunderstanding or inconsistency in task naming during prediction."
29230517,dag,link_mismatch; arg_mismatch(2),True,Missing Edge,"[{""category"": ""Missing Edge"", ""description"": ""The predicted workflow is missing the edge from 'Text Grammar Checker' to 'Voice Changer', which exists in the gold workflow.""}]",dependency_reasoning,"The model failed to recognize that the output of the 'Text Grammar Checker' should be used as input for the 'Voice Changer' task, even though the 'Voice Changer' task uses a different argument ('example.wav').","The model did not establish the correct dependency between the 'Text Grammar Checker' and 'Voice Changer' tasks, leading to a missing edge in the predicted workflow."
20681073,dag,node_mismatch; arg_mismatch(3),True,Missing Edge; Type-Incompatible Edge,"[{""category"": ""Missing Edge"", ""description"": ""The 'Audio Downloader' node is missing in the predicted workflow, which results in a missing edge from 'Audio Downloader' to 'Audio Effects' that exists in the gold workflow.""}, {""category"": ""Type-Incompatible Edge"", ""description"": ""In the predicted workflow, the 'Audio Effects' node receives the URL 'http://www.example.com/example.wav' as an audio input, which is semantically incompatible since the 'Audio Effects' tool expects an actual audio file (e.g., 'downloaded_audio.wav') as its first input.""}]",task_understanding,The model failed to recognize the need for the 'Audio Downloader' task and incorrectly used the URL directly as an audio input to the 'Audio Effects' node.,"The model did not correctly interpret the user request to first download the audio file before applying effects, leading to both a missing edge and a type-incompatible edge."
