ID,Type,Node OK,Link OK,Arg Mismatch,Pred Tasks,Gold Tasks,Error Summary
48526205,single,✓,✓,1,audio effects,audio effects,arg_mismatch(1)
30390123,single,✓,✓,1,video speed changer,video speed changer,arg_mismatch(1)
27515853,single,✓,✓,1,audio-to-image,audio-to-image,arg_mismatch(1)
26668950,single,✓,✓,1,text-to-image,text-to-image,arg_mismatch(1)
14390871,single,✓,✓,1,image search,image search,arg_mismatch(1)
13710111,chain,✓,✓,1,topic generator -> text expander,topic generator -> text expander,arg_mismatch(1)
26559903,chain,✓,✓,1,video speed changer -> video-to-audio -> audio-to-text -> video search,video speed changer -> video-to-audio -> audio-to-text -> video search,arg_mismatch(1)
26877471,chain,✗,✗,3,text sentiment analysis -> text-to-image,text translator -> text sentiment analysis -> image search,node_mismatch; link_mismatch; arg_mismatch(3)
19793459,chain,✗,✗,3,text paraphraser -> text simplifier -> text-to-image,text paraphraser -> text simplifier -> image search,node_mismatch; link_mismatch; arg_mismatch(3)
37338668,chain,✗,✗,3,audio downloader -> voice changer,url extractor -> audio downloader -> voice changer,node_mismatch; link_mismatch; arg_mismatch(3)
33050649,chain,✓,✗,2,keyword extractor -> text-to-audio -> audio-to-image,keyword extractor -> text-to-audio -> audio-to-image,link_mismatch; arg_mismatch(2)
65064524,chain,✗,✗,5,text summarizer -> audio effects -> video synchronization -> video stabilizer -> video-to-audio -> audio noise reduction,text summarizing -> audio enhancing -> video synchronization -> video stabilizing -> audio extraction -> noise reduction,node_mismatch; link_mismatch; arg_mismatch(5)
33414632,chain,✗,✗,5,audio effects -> audio noise reduction -> audio-to-image -> image search (by image),video-to-text -> audio effects -> audio noise reduction -> audio-to-image -> image search (by image),node_mismatch; link_mismatch; arg_mismatch(5)
30669397,chain,✗,✗,2,text search,text search -> text summarizer,node_mismatch; link_mismatch; arg_mismatch(2)
31335856,dag,✗,✗,2,audio-to-text -> text sentiment analysis -> text paraphraser -> text grammar checker,audio-to-text -> text sentiment analysis -> article spinner -> text grammar checker,node_mismatch; link_mismatch; arg_mismatch(2)
36690562,dag,✓,✗,1,video-to-audio -> audio splicer -> audio-to-text -> audio effects -> audio-to-image,video-to-audio -> audio splicer -> audio-to-text -> audio effects -> audio-to-image,link_mismatch; arg_mismatch(1)
17404615,dag,✗,✗,3,video speed changer -> text paraphraser -> video voiceover,text paraphraser -> video speed changer -> video voiceover,node_mismatch; link_mismatch; arg_mismatch(3)
15992250,dag,✗,✗,2,video-to-text -> text sentiment analysis,video downloader -> video-to-text -> text sentiment analysis -> text simplifier,node_mismatch; link_mismatch; arg_mismatch(2)
28374453,dag,✗,✗,1,text expander -> video search,text expander -> text sentiment analysis -> article spinner -> video search,node_mismatch; link_mismatch; arg_mismatch(1)
18394595,dag,✓,✗,2,video downloader -> video-to-image -> video synchronization,video downloader -> video-to-image -> video synchronization,link_mismatch; arg_mismatch(2)
31407822,dag,✗,✗,2,text-to-image -> image-to-video -> image-to-video -> text sentiment analysis -> text sentiment analysis,text-to-image -> image-to-video -> text sentiment analysis,node_mismatch; link_mismatch; arg_mismatch(2)
19419954,dag,✗,✗,2,article spinner -> url extractor,article spinner -> text simplifier -> url extractor,node_mismatch; link_mismatch; arg_mismatch(2)
78630559,dag,✗,✗,3,video downloader -> audio splicer -> video speed changer -> video synchronization,video downloader -> video speed changer -> audio splicer -> video synchronization,node_mismatch; link_mismatch; arg_mismatch(3)
16771097,dag,✓,✓,1,video-to-text -> text expander -> video search -> text-to-audio,video-to-text -> text expander -> video search -> text-to-audio,arg_mismatch(1)
