ID,Type,Node OK,Link OK,Arg Mismatch,Pred Tasks,Gold Tasks,Error Summary
25866928,chain,✓,✓,1,text simplifier -> text search -> text grammar checker -> topic generator -> text-to-image,text simplifier -> text search -> text grammar checker -> topic generator -> text-to-image,arg_mismatch(1)
36690562,dag,✓,✗,1,video-to-audio -> audio splicer -> audio-to-text -> audio effects -> audio-to-image,video-to-audio -> audio splicer -> audio-to-text -> audio effects -> audio-to-image,link_mismatch; arg_mismatch(1)
29292224,chain,✗,✗,3,text simplifier -> text summarizer -> text sentiment analysis -> keyword extractor -> text search,text simplifier -> text summarizer -> keyword extractor -> text sentiment analysis -> topic generator -> text search,node_mismatch; link_mismatch; arg_mismatch(3)
27258164,dag,✗,✗,4,audio noise reduction -> voice changer -> audio-to-image -> image stitcher -> image-to-video,voice changer -> audio noise reduction -> audio-to-image -> image-to-video,node_mismatch; link_mismatch; arg_mismatch(4)
88388827,chain,✓,✓,1,audio-to-text -> audio effects -> audio-to-image,audio-to-text -> audio effects -> audio-to-image,arg_mismatch(1)
15307439,chain,✓,✓,2,audio effects -> audio-to-text -> text expander -> video search -> video speed changer,audio effects -> audio-to-text -> text expander -> video search -> video speed changer,arg_mismatch(2)
28095039,chain,✗,✗,4,audio downloader -> text-to-video -> video-to-text -> url extractor,audio downloader -> audio-to-text -> text simplifier -> video voiceover -> video-to-text -> url extractor,node_mismatch; link_mismatch; arg_mismatch(4)
13018270,dag,✗,✓,3,audio splicer -> audio effects,text simplifier -> audio splicer -> audio effects,node_mismatch; arg_mismatch(3)
46051366,chain,✗,✗,2,topic generator -> image search,keyword extractor -> text expander -> topic generator -> text summarizer -> image search,node_mismatch; link_mismatch; arg_mismatch(2)
60932031,chain,✗,✗,4,audio-to-text -> text grammar checker -> text-to-audio,audio-to-text -> text expander -> text grammar checker -> text-to-audio -> voice changer,node_mismatch; link_mismatch; arg_mismatch(4)
11988217,chain,✗,✗,3,text summarizer -> text-to-audio,keyword extractor -> text summarizer -> text to speech,node_mismatch; link_mismatch; arg_mismatch(3)
27780863,chain,✓,✗,1,text translator -> video search -> video synchronization,text translator -> video search -> video synchronization,link_mismatch; arg_mismatch(1)
18534983,chain,✗,✗,2,text downloader -> text-to-audio -> video voiceover,text downloader -> video voiceover -> video-to-audio,node_mismatch; link_mismatch; arg_mismatch(2)
24192922,chain,✗,✗,2,text-to-video,text search -> text-to-video -> video voiceover,node_mismatch; link_mismatch; arg_mismatch(2)
