ID,Type,Node OK,Link OK,Arg Mismatch,Pred Tasks,Gold Tasks,Error Summary
48526205,single,✓,✓,1,audio effects,audio effects,arg_mismatch(1)
26668950,single,✓,✓,1,text-to-image,text-to-image,arg_mismatch(1)
14390871,single,✓,✓,1,image search,image search,arg_mismatch(1)
26559903,chain,✓,✓,1,video speed changer -> video-to-audio -> audio-to-text -> video search,video speed changer -> video-to-audio -> audio-to-text -> video search,arg_mismatch(1)
26877471,chain,✗,✗,2,text translator -> text sentiment analysis -> text-to-image,text translator -> text sentiment analysis -> image search,node_mismatch; link_mismatch; arg_mismatch(2)
19793459,chain,✓,✗,2,text paraphraser -> text simplifier -> image search,text paraphraser -> text simplifier -> image search,link_mismatch; arg_mismatch(2)
37338668,chain,✓,✓,2,url extractor -> audio downloader -> voice changer,url extractor -> audio downloader -> voice changer,arg_mismatch(2)
33050649,chain,✓,✗,2,keyword extractor -> text-to-audio -> audio-to-image,keyword extractor -> text-to-audio -> audio-to-image,link_mismatch; arg_mismatch(2)
65064524,chain,✗,✗,5,text summarizer -> audio effects -> video synchronization -> video stabilizer -> video-to-audio -> audio noise reduction,text summarizing -> audio enhancing -> video synchronization -> video stabilizing -> audio extraction -> noise reduction,node_mismatch; link_mismatch; arg_mismatch(5)
33414632,chain,✗,✗,4,video-to-audio -> audio effects -> audio noise reduction -> audio-to-image -> image search (by image),video-to-text -> audio effects -> audio noise reduction -> audio-to-image -> image search (by image),node_mismatch; link_mismatch; arg_mismatch(4)
30669397,chain,✓,✓,1,text search -> text summarizer,text search -> text summarizer,arg_mismatch(1)
31335856,dag,✓,✗,1,audio-to-text -> text sentiment analysis -> article spinner -> text grammar checker,audio-to-text -> text sentiment analysis -> article spinner -> text grammar checker,link_mismatch; arg_mismatch(1)
36690562,dag,✓,✗,1,video-to-audio -> audio splicer -> audio-to-text -> audio effects -> audio-to-image,video-to-audio -> audio splicer -> audio-to-text -> audio effects -> audio-to-image,link_mismatch; arg_mismatch(1)
17404615,dag,✗,✗,3,video speed changer -> text paraphraser -> video voiceover,text paraphraser -> video speed changer -> video voiceover,node_mismatch; link_mismatch; arg_mismatch(3)
15992250,dag,✗,✗,3,video-to-audio -> audio-to-text -> text sentiment analysis -> text simplifier,video downloader -> video-to-text -> text sentiment analysis -> text simplifier,node_mismatch; link_mismatch; arg_mismatch(3)
28374453,dag,✗,✗,2,text expander -> text sentiment analysis -> video search,text expander -> text sentiment analysis -> article spinner -> video search,node_mismatch; link_mismatch; arg_mismatch(2)
18394595,dag,✓,✗,2,video downloader -> video-to-image -> video synchronization,video downloader -> video-to-image -> video synchronization,link_mismatch; arg_mismatch(2)
19419954,dag,✗,✗,2,image-to-text -> text simplifier -> url extractor,article spinner -> text simplifier -> url extractor,node_mismatch; link_mismatch; arg_mismatch(2)
78630559,dag,✗,✓,2,video downloader -> audio splicer -> video speed changer -> video synchronization,video downloader -> video speed changer -> audio splicer -> video synchronization,node_mismatch; arg_mismatch(2)
16771097,dag,✗,✗,3,video-to-audio -> audio-to-text -> text expander -> video search -> text-to-audio,video-to-text -> text expander -> video search -> text-to-audio,node_mismatch; link_mismatch; arg_mismatch(3)
