ID,Type,Node OK,Link OK,Arg Mismatch,Pred Tasks,Gold Tasks,Error Summary
88388827,chain,✗,✗,3,audio effects -> audio-to-image,audio-to-text -> audio effects -> audio-to-image,node_mismatch; link_mismatch; arg_mismatch(3)
36690562,dag,✓,✗,1,video-to-audio -> audio splicer -> audio-to-text -> audio effects -> audio-to-image,video-to-audio -> audio splicer -> audio-to-text -> audio effects -> audio-to-image,link_mismatch; arg_mismatch(1)
27258164,dag,✓,✓,1,voice changer -> audio noise reduction -> audio-to-image -> image-to-video,voice changer -> audio noise reduction -> audio-to-image -> image-to-video,arg_mismatch(1)
29292224,chain,✗,✗,5,text summarizer -> text sentiment analysis -> keyword extractor -> text simplifier -> topic generator,text simplifier -> text summarizer -> keyword extractor -> text sentiment analysis -> topic generator -> text search,node_mismatch; link_mismatch; arg_mismatch(5)
25866928,chain,✗,✗,5,text search -> text grammar checker -> topic generator -> text-to-image,text simplifier -> text search -> text grammar checker -> topic generator -> text-to-image,node_mismatch; link_mismatch; arg_mismatch(5)
27780863,chain,✓,✓,1,text translator -> video search -> video synchronization,text translator -> video search -> video synchronization,arg_mismatch(1)
15307439,chain,✓,✓,1,audio effects -> audio-to-text -> text expander -> video search -> video speed changer,audio effects -> audio-to-text -> text expander -> video search -> video speed changer,arg_mismatch(1)
28095039,chain,✗,✗,4,audio downloader -> text simplifier -> video voiceover -> video-to-audio -> audio-to-text -> url extractor,audio downloader -> audio-to-text -> text simplifier -> video voiceover -> video-to-text -> url extractor,node_mismatch; link_mismatch; arg_mismatch(4)
13018270,dag,✗,✓,3,audio splicer -> audio effects,text simplifier -> audio splicer -> audio effects,node_mismatch; arg_mismatch(3)
60932031,chain,✗,✗,4,audio-to-text -> text simplifier -> text-to-audio,audio-to-text -> text expander -> text grammar checker -> text-to-audio -> voice changer,node_mismatch; link_mismatch; arg_mismatch(4)
46051366,chain,✗,✗,3,topic generator -> image search,keyword extractor -> text expander -> topic generator -> text summarizer -> image search,node_mismatch; link_mismatch; arg_mismatch(3)
11425996,chain,✓,✗,1,image stitcher -> image colorizer -> image search (by image) -> image-to-video,image stitcher -> image colorizer -> image search (by image) -> image-to-video,link_mismatch; arg_mismatch(1)
11988217,chain,✗,✗,3,text summarizer -> text-to-audio,keyword extractor -> text summarizer -> text to speech,node_mismatch; link_mismatch; arg_mismatch(3)
19690344,chain,✗,✗,2,video-to-audio -> audio-to-image,audio-to-image -> video-to-audio,node_mismatch; link_mismatch; arg_mismatch(2)
18534983,chain,✗,✗,2,text downloader -> text-to-audio -> video voiceover,text downloader -> video voiceover -> video-to-audio,node_mismatch; link_mismatch; arg_mismatch(2)
15414201,dag,✗,✗,3,text-to-video -> video speed changer -> video splicer,text sentiment analysis -> text expander -> text-to-image -> video speed changer,node_mismatch; link_mismatch; arg_mismatch(3)
10135093,chain,✗,✗,1,keyword extractor -> text search -> text downloader,keyword extractor -> url extractor -> text downloader,node_mismatch; link_mismatch; arg_mismatch(1)
96133316,single,✓,✓,1,image search,image search,arg_mismatch(1)
24192922,chain,✗,✗,2,text-to-video -> video voiceover,text search -> text-to-video -> video voiceover,node_mismatch; link_mismatch; arg_mismatch(2)
87050118,single,✓,✓,1,text summarizer,text summarizer,arg_mismatch(1)
28319577,chain,✗,✗,4,text downloader -> text grammar checker -> topic generator -> image search,image search -> text extractor -> grammar and style checker -> theme extractor,node_mismatch; link_mismatch; arg_mismatch(4)
18153929,single,✗,✓,0,image search,web image search,node_mismatch
23427738,single,✓,✓,1,topic generator,topic generator,arg_mismatch(1)
21047396,chain,✗,✗,4,text simplifier -> text-to-image -> image stitcher,article spinner -> text simplifier -> text-to-image -> image stitcher,node_mismatch; link_mismatch; arg_mismatch(4)
10380769,single,✓,✓,1,image search,image search,arg_mismatch(1)
31664374,dag,✗,✗,0,text paraphraser -> text summarizer -> video speed changer,text paraphraser -> text summarizer -> speed adjuster,node_mismatch; link_mismatch
13802119,single,✓,✓,1,keyword extractor,keyword extractor,arg_mismatch(1)
26171658,single,✓,✓,1,text expander,text expander,arg_mismatch(1)
31893844,chain,✗,✗,5,text translator -> url extractor -> audio downloader -> audio effects,keyword extractor -> text translator -> url extractor -> audio downloader -> audio effects,node_mismatch; link_mismatch; arg_mismatch(5)
