case_id,type,candidate_count,parse_success_count,baseline_exact,oracle_exact,baseline_node_f1,oracle_node_f1,baseline_edge_f1,oracle_edge_f1,baseline_arg_value_f1,oracle_arg_value_f1,baseline_quality_score,oracle_quality_score,quality_gain_vs_baseline,node_gain_vs_baseline,edge_gain_vs_baseline,oracle_best_family,oracle_best_variant,unique_workflow_count,unique_structure_count,unique_node_sequence_count,unique_edge_pattern_count,mean_pairwise_structure_distance,candidates_equal_baseline,structures_equal_baseline,baseline_nodes,oracle_nodes
10135093,chain,5,5,False,False,0.6666666666666666,0.6666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,0.18518518518518517,0.18518518518518517,0.0,0.0,0.0,minimal,minimal,1,1,1,1,0.0,5,5,Keyword Extractor -> Text Search -> Text Downloader,Keyword Extractor -> Text Search -> Text Downloader
10341217,single,5,2,True,True,1.0,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,,minimal,minimal,2,2,2,1,0.6,2,2,Topic Generator,Topic Generator
10380769,single,5,5,False,False,1.0,1.0,,,0.0,0.0,0.4444444444444444,0.4444444444444444,0.0,0.0,,minimal,minimal,1,1,1,1,0.0,5,5,Image Search,Image Search
11307128,dag,5,5,False,False,1.0,1.0,1.0,1.0,1.0,1.0,0.5555555555555556,0.5555555555555556,0.0,0.0,0.0,minimal,minimal,1,1,1,1,0.0,5,5,Audio Splicer -> Audio-to-Text -> Audio-to-Image,Audio Splicer -> Audio-to-Text -> Audio-to-Image
11425996,chain,5,5,False,False,1.0,1.0,0.75,0.75,0.8333333333333334,0.8333333333333334,0.48148148148148145,0.48148148148148145,0.0,0.0,0.0,minimal,minimal,1,1,1,1,0.0,5,5,Image Stitcher -> Image Colorizer -> Image Search (by Image) -> Image-to-Video,Image Stitcher -> Image Colorizer -> Image Search (by Image) -> Image-to-Video
11988217,chain,5,5,False,False,0.4,0.4,0.0,0.0,0.0,0.0,0.08888888888888889,0.08888888888888889,0.0,0.0,0.0,minimal,minimal,1,1,1,1,0.0,0,5,Text Summarizer -> Text-to-Audio,Text Summarizer -> Text-to-Audio
13018270,dag,5,5,False,False,0.8,0.8,1.0,1.0,0.6666666666666665,0.6666666666666665,0.4740740740740741,0.4740740740740741,0.0,0.0,0.0,minimal,minimal,2,2,2,2,0.19999999999999998,2,2,Audio Splicer -> Audio Effects,Audio Splicer -> Audio Effects
13317513,single,5,5,True,True,1.0,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,,minimal,minimal,1,1,1,1,0.0,5,5,Article Spinner,Article Spinner
13572453,chain,5,5,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,minimal,minimal,1,1,1,1,0.0,5,5,Audio Effects -> Audio-to-Image -> Image Search (by Image),Audio Effects -> Audio-to-Image -> Image Search (by Image)
13802119,single,5,5,False,False,1.0,1.0,,,0.0,0.0,0.4444444444444444,0.4444444444444444,0.0,0.0,,minimal,minimal,1,1,1,1,0.0,5,5,Keyword Extractor,Keyword Extractor
13864445,chain,5,5,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,minimal,minimal,1,1,1,1,0.0,5,5,Text Sentiment Analysis -> Text-to-Video -> Video-to-Audio,Text Sentiment Analysis -> Text-to-Video -> Video-to-Audio
13917832,single,5,5,True,True,1.0,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,,minimal,minimal,1,1,1,1,0.0,5,5,Image Search (by Image),Image Search (by Image)
14570693,chain,5,5,False,False,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.5185185185185186,0.5185185185185186,0.0,0.0,0.0,minimal,minimal,1,1,1,1,0.0,5,5,Text Expander -> Article Spinner -> Text Simplifier,Text Expander -> Article Spinner -> Text Simplifier
15307439,chain,5,5,False,False,1.0,1.0,1.0,1.0,0.8571428571428571,0.8571428571428571,0.5396825396825397,0.5396825396825397,0.0,0.0,0.0,minimal,minimal,1,1,1,1,0.0,5,5,Audio Effects -> Audio-to-Text -> Text Expander -> Video Search -> Video Speed Changer,Audio Effects -> Audio-to-Text -> Text Expander -> Video Search -> Video Speed Changer
15414201,dag,5,5,False,False,0.28571428571428575,0.4,0.0,0.0,0.20000000000000004,0.28571428571428575,0.08571428571428573,0.12063492063492065,0.03492063492063492,0.11428571428571427,0.0,minimal,minimal,4,4,4,2,0.55,1,1,Text-to-Video -> Video Speed Changer -> Video Splicer,Video Speed Changer
16097613,chain,5,5,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,minimal,minimal,1,1,1,1,0.0,5,5,Video-to-Audio -> Audio Noise Reduction -> Audio Effects,Video-to-Audio -> Audio Noise Reduction -> Audio Effects
16470663,single,5,5,False,False,0.0,0.0,,,0.0,0.0,0.2222222222222222,0.2222222222222222,0.0,0.0,,minimal,minimal,1,1,1,1,0.0,5,5,Text-to-Image -> Image-to-Video,Text-to-Image -> Image-to-Video
18081315,chain,5,5,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,minimal,minimal,1,1,1,1,0.0,0,0,Text Expander -> Text-to-Image -> Image-to-Text -> Video Voiceover,Text Expander -> Text-to-Image -> Image-to-Text -> Video Voiceover
18153929,single,5,5,False,False,0.0,0.0,,,0.0,0.0,0.2222222222222222,0.2222222222222222,0.0,0.0,,minimal,minimal,1,1,1,1,0.0,0,0,Image Search,Text Search
18534983,chain,5,5,False,False,0.6666666666666666,0.6666666666666666,0.0,0.0,0.5,0.5,0.2037037037037037,0.2037037037037037,0.0,0.0,0.0,minimal,minimal,1,1,1,1,0.0,0,0,Text Downloader -> Text-to-Audio -> Video Voiceover,Text Downloader -> Text-to-Audio -> Video Voiceover
19690344,chain,5,5,False,False,1.0,1.0,,,0.6666666666666666,0.6666666666666666,0.5185185185185186,0.5185185185185186,0.0,0.0,,minimal,minimal,1,1,1,1,0.0,5,5,Video-to-Audio -> Audio-to-Image,Video-to-Audio -> Audio-to-Image
21047396,chain,5,5,False,False,0.8571428571428571,0.8571428571428571,0.8,0.8,0.6666666666666665,0.6666666666666665,0.4423280423280423,0.4423280423280423,0.0,0.0,0.0,minimal,minimal,1,1,1,1,0.0,5,5,Text Simplifier -> Text-to-Image -> Image Stitcher,Text Simplifier -> Text-to-Image -> Image Stitcher
23427738,single,5,4,False,False,1.0,1.0,,,0.0,0.0,0.4444444444444444,0.4444444444444444,0.0,0.0,,minimal,minimal,2,2,2,1,0.4,4,4,Topic Generator,Topic Generator
23756502,single,5,5,False,True,0.6666666666666666,1.0,,,0.6666666666666666,1.0,0.4444444444444444,1.0,0.5555555555555556,0.33333333333333337,,action_coverage,action_coverage,2,2,2,2,0.2,4,4,Video Search -> Video Downloader,Video Search
24192922,chain,5,5,False,False,0.8,0.8,0.6666666666666666,0.6666666666666666,0.28571428571428575,0.28571428571428575,0.3576719576719577,0.3576719576719577,0.0,0.0,0.0,minimal,minimal,1,1,1,1,0.0,5,5,Text-to-Video -> Video Voiceover,Text-to-Video -> Video Voiceover
24402294,chain,5,5,False,False,0.7272727272727272,0.7272727272727272,0.22222222222222224,0.22222222222222224,0.30769230769230765,0.30769230769230765,0.24518691185357847,0.24518691185357847,0.0,0.0,0.0,minimal,minimal,2,1,1,1,0.0,3,5,Text Downloader -> Text Summarizer -> Text-to-Audio -> Audio Effects -> Audio-to-Image,Text Downloader -> Text Summarizer -> Text-to-Audio -> Audio Effects -> Audio-to-Image
25051013,single,5,5,True,True,1.0,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,,minimal,minimal,1,1,1,1,0.0,5,5,Text Simplifier,Text Simplifier
25866928,chain,5,5,False,False,0.888888888888889,0.888888888888889,0.4,0.6666666666666666,0.22222222222222224,0.4444444444444445,0.3111111111111111,0.39506172839506176,0.08395061728395065,0.0,0.2666666666666666,minimal,minimal,1,1,1,1,0.0,0,0,Text Search -> Text Grammar Checker -> Topic Generator -> Text-to-Image,Text Search -> Text Grammar Checker -> Topic Generator -> Text-to-Image
26034796,chain,5,5,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,typed_dependency,typed_dependency,2,2,2,2,0.48000000000000004,3,3,Video Downloader -> Video-to-Audio -> Audio-to-Text -> Text-to-Audio -> Audio-to-Text,Video Downloader -> Video-to-Audio -> Audio-to-Text -> Text-to-Audio -> Audio-to-Text
