ID,Type,Node OK,Link OK,Arg Mismatch,Pred Tasks,Gold Tasks,Error Summary
25866928,chain,✓,✓,1,text simplifier -> text search -> text grammar checker -> topic generator -> text-to-image,text simplifier -> text search -> text grammar checker -> topic generator -> text-to-image,arg_mismatch(1)
36690562,dag,✓,✗,1,video-to-audio -> audio splicer -> audio-to-text -> audio effects -> audio-to-image,video-to-audio -> audio splicer -> audio-to-text -> audio effects -> audio-to-image,link_mismatch; arg_mismatch(1)
29292224,chain,✗,✗,2,text simplifier -> text summarizer -> text sentiment analysis -> keyword extractor -> text search -> topic generator,text simplifier -> text summarizer -> keyword extractor -> text sentiment analysis -> topic generator -> text search,node_mismatch; link_mismatch; arg_mismatch(2)
27780863,chain,✓,✓,1,text translator -> video search -> video synchronization,text translator -> video search -> video synchronization,arg_mismatch(1)
15307439,chain,✓,✓,1,audio effects -> audio-to-text -> text expander -> video search -> video speed changer,audio effects -> audio-to-text -> text expander -> video search -> video speed changer,arg_mismatch(1)
13018270,dag,✗,✗,3,audio splicer -> text simplifier -> audio effects,text simplifier -> audio splicer -> audio effects,node_mismatch; link_mismatch; arg_mismatch(3)
46051366,chain,✗,✗,3,topic generator -> image search,keyword extractor -> text expander -> topic generator -> text summarizer -> image search,node_mismatch; link_mismatch; arg_mismatch(3)
60932031,chain,✗,✗,6,audio-to-text -> text expander -> text grammar checker -> text translator -> text-to-audio -> voice changer,audio-to-text -> text expander -> text grammar checker -> text-to-audio -> voice changer,node_mismatch; link_mismatch; arg_mismatch(6)
11425996,chain,✓,✗,1,image stitcher -> image colorizer -> image search (by image) -> image-to-video,image stitcher -> image colorizer -> image search (by image) -> image-to-video,link_mismatch; arg_mismatch(1)
11988217,chain,✗,✗,3,text summarizer -> text-to-audio -> voice changer,keyword extractor -> text summarizer -> text to speech,node_mismatch; link_mismatch; arg_mismatch(3)
18534983,chain,✗,✗,2,text downloader -> text-to-audio -> video voiceover,text downloader -> video voiceover -> video-to-audio,node_mismatch; link_mismatch; arg_mismatch(2)
24192922,chain,✗,✗,2,text-to-video -> video voiceover,text search -> text-to-video -> video voiceover,node_mismatch; link_mismatch; arg_mismatch(2)
27258164,dag,✗,✗,3,audio noise reduction -> voice changer -> audio-to-image -> image-to-video,voice changer -> audio noise reduction -> audio-to-image -> image-to-video,node_mismatch; link_mismatch; arg_mismatch(3)
